image,transform,align_score,mode,status
2022_03_21_11_03_07_51,id,6450,cellwise,ok
2022_03_21_11_03_07_59,id,0,cellwise,empty
2022_03_21_11_03_07_67,id,0,cellwise,empty
2022_03_21_11_03_07_76,id,0,cellwise,empty
2022_03_21_11_03_07_85,id,0,cellwise,empty
2022_03_21_11_03_08_10,id,0,cellwise,empty
2022_03_21_11_03_08_22,id,5083,cellwise,ok
2022_03_21_11_03_08_29,id,5172,cellwise,ok
2022_03_21_11_03_08_36,id,0,cellwise,empty
2022_03_21_11_03_08_43,id,0,cellwise,empty
2022_03_21_11_03_08_50,id,0,cellwise,empty
2022_03_21_11_03_08_67,id,0,cellwise,empty
2022_03_21_11_03_08_92,id,0,cellwise,empty
2022_03_21_11_03_09_01,id,0,cellwise,empty
2022_03_21_11_03_09_09,fliplr,3390,cellwise,ok
2022_03_21_11_03_09_17,id,2558,cellwise,ok
2022_03_21_11_03_09_35,id,2051,cellwise,ok
2022_03_21_11_03_09_43,id,0,cellwise,empty
2022_03_21_11_03_09_51,flipud,3502,cellwise,ok
2022_03_21_11_03_09_60,id,3006,cellwise,ok
2022_03_21_11_03_09_68,id,0,cellwise,empty
2022_03_21_11_03_09_85,id,0,cellwise,empty
2022_03_21_11_03_09_93,id,0,cellwise,empty
2022_03_21_11_03_10_01,id,0,cellwise,empty
2022_03_21_11_03_10_10,id,0,cellwise,empty
2022_03_21_11_03_10_18,id,0,cellwise,empty
2022_03_21_11_03_10_26,id,0,cellwise,empty
2022_03_21_11_03_10_35,id,0,cellwise,empty
2022_03_21_11_03_10_43,id,0,cellwise,empty
2022_03_21_11_03_10_58,id,0,cellwise,empty
2022_03_21_11_03_10_65,id,2902,cellwise,ok
2022_03_21_11_03_10_71,id,0,cellwise,empty
2022_03_21_11_03_10_78,id,0,cellwise,empty
2022_03_21_11_03_10_85,id,0,cellwise,empty
2022_03_21_11_03_11_01,id,0,cellwise,empty
2022_03_21_11_03_11_09,id,0,cellwise,empty
2022_03_21_11_03_11_18,id,0,cellwise,empty
2022_03_21_11_03_11_35,id,0,cellwise,empty
2022_03_21_11_03_11_51,id,0,cellwise,empty
2022_03_21_11_03_11_60,id,0,cellwise,empty
2022_03_21_11_03_11_68,id,0,cellwise,empty
2022_03_21_11_03_11_77,id,0,cellwise,empty
2022_03_21_11_03_11_85,id,0,cellwise,empty
2022_03_21_11_03_11_93,id,0,cellwise,empty
